"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1327","A standard user can sign in","SauceDemoSuite","Wed Sep 23 15:39:57 UTC 2026","passed","Wed Sep 23 15:39:58 UTC 2026","Tests.SauceDemoTest","E2E Test","Tests.SauceDemoTest","testLogin"
"","250","Continue Shopping from the cart returns to the catalog","SauceDemoSuite","Wed Sep 23 15:40:10 UTC 2026","passed","Wed Sep 23 15:40:10 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testContinueShopping"
"","77","Password characters are masked","SauceDemoSuite","Wed Sep 23 15:40:04 UTC 2026","passed","Wed Sep 23 15:40:04 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testPasswordFieldIsMasked"
"","2609","Every catalog product can be added and then removed from the cart","SauceDemoSuite","Wed Sep 23 15:39:58 UTC 2026","passed","Wed Sep 23 15:40:01 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testAddAllThenRemoveAll"
"","1923","The cart is still populated after logout and a new login","SauceDemoSuite","Wed Sep 23 15:40:06 UTC 2026","passed","Wed Sep 23 15:40:08 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterLogoutAndLogin"
"","680","Name Z to A sorts the catalog descending","SauceDemoSuite","Wed Sep 23 15:40:06 UTC 2026","passed","Wed Sep 23 15:40:07 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testSortByNameDescending"
"","606","A valid username with the wrong password is rejected","SauceDemoSuite","Wed Sep 23 15:40:07 UTC 2026","passed","Wed Sep 23 15:40:07 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testWrongPasswordOnly"
"","10","The catalog lists every standard product","SauceDemoSuite","Wed Sep 23 15:40:03 UTC 2026","passed","Wed Sep 23 15:40:03 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testProductCount"
"","495","Overview lists the cart item plus payment and shipping values","SauceDemoSuite","Wed Sep 23 15:40:15 UTC 2026","passed","Wed Sep 23 15:40:16 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testOverviewShowsItemAndDeliveryDetails"
"","1307","The menu lists All Items, About, Logout, and Reset App State","SauceDemoSuite","Wed Sep 23 15:40:01 UTC 2026","passed","Wed Sep 23 15:40:02 UTC 2026","Tests.HomepageTests","Homepage","Tests.HomepageTests","testMenuItemsArePresentAndEnabled"
"","588","Unknown username and password show the mismatch error","SauceDemoSuite","Wed Sep 23 15:39:58 UTC 2026","passed","Wed Sep 23 15:39:59 UTC 2026","Tests.LoginPageTests","Login","Tests.LoginPageTests","testInvalidLogin"
"","673","A missing postal code is reported after the name fields are filled","SauceDemoSuite","Wed Sep 23 15:40:11 UTC 2026","passed","Wed Sep 23 15:40:12 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testCheckoutRequiresPostalCode"
"","514","Changing the catalog sort does not drop items already in the cart","SauceDemoSuite","Wed Sep 23 15:40:08 UTC 2026","passed","Wed Sep 23 15:40:09 UTC 2026","Tests.CartTests","Cart","Tests.CartTests","testCartPersistsAfterSorting"
"","1759","A postal code made of letters is accepted","SauceDemoSuite","Wed Sep 23 15:39:58 UTC 2026","passed","Wed Sep 23 15:40:00 UTC 2026","Tests.CheckoutTests","Checkout","Tests.CheckoutTests","testAlphabeticPostalCodeIsAccepted"
